user.id,user.name,timestamp,lon,lat,acc,url,pal1,pal3,pal5
38174668@N05,vancouverfilmschool,2010-09-07T06:34:03Z,-123.132057,49.27713,16,http://www.flickr.com/photos/38174668@N05/4968641659/,#3D3334,"c(""#977777"", ""#373A40"", ""#120E0C"")","c(""#ADA0A2"", ""#71514B"", ""#28171A"", ""#010102"", ""#383A3C"")"
35034347371@N01,roland,2011-02-28T14:18:51Z,-123.116431,49.233652,16,http://www.flickr.com/photos/35034347371@N01/5486605467/,#8A8B88,"c(""#878885"", ""#51514B"", ""#A7A9A7"")","c(""#8B8D8B"", ""#83837F"", ""#B4B6B4"", ""#989A99"", ""#51514B"")"
34962573@N00,Canadian+Veggie,2012-12-20T20:24:55Z,-123.139357,49.260971,14,http://www.flickr.com/photos/34962573@N00/8292432679/,#AF9E7E,"c(""#B5A764"", ""#614D3E"", ""#D2C1AA"")","c(""#A89990"", ""#A48550"", ""#E3D0BF"", ""#D3C680"", ""#5C5145"")"
49475364@N00,sataylor+pix,2010-05-01T13:54:53Z,-123.130892,49.30055,16,http://www.flickr.com/photos/49475364@N00/4570011500/,#13120E,"c(""#2D291F"", ""#12120F"", ""#060605"")","c(""#433C30"", ""#31291C"", ""#201F19"", ""#12120F"", ""#060605"")"
28551156@N06,pkdon50,2008-07-13T19:07:15Z,-123.113222,49.238616,12,http://www.flickr.com/photos/28551156@N06/2710572161/,#3D503A,"c(""#7C8B81"", ""#41522E"", ""#1A311B"")","c(""#C0CEE5"", ""#7F8A7B"", ""#576850"", ""#41522E"", ""#1A311B"")"
7616875@N04,daniel_dimarco,2010-02-17T15:50:41Z,-123.260078,49.269456,14,http://www.flickr.com/photos/7616875@N04/4371347342/,#403A2D,"c(""#857C6A"", ""#322B1D"", ""#211F14"")","c(""#E9DCCA"", ""#92836D"", ""#4A4737"", ""#322B1D"", ""#211F14"")"
60142746@N00,Stephen+Rees,2010-05-30T11:14:05Z,-123.111205,49.273033,16,http://www.flickr.com/photos/60142746@N00/4660745854/,#80827E,"c(""#81817C"", ""#1C211F"", ""#B2B3AF"")","c(""#ACACA8"", ""#A1A19C"", ""#7C8280"", ""#1E1F1A"", ""#BEBEBA"")"
54322086@N00,freedryk,2007-06-09T11:07:00Z,-123.0655,49.257722,16,http://www.flickr.com/photos/54322086@N00/540062080/,#627954,"c(""#ADBF9D"", ""#617D58"", ""#3C522C"")","c(""#CADDBF"", ""#889584"", ""#72A350"", ""#656F4F"", ""#394F2F"")"
80198633@N00,abe%27s+gitch,2010-12-15T23:34:31Z,-123.071319,49.267081,16,http://www.flickr.com/photos/80198633@N00/5265777004/,#6B695E,"c(""#C6CBC9"", ""#7F7E6E"", ""#332E1F"")","c(""#443B29"", ""#222115"", ""#949181"", ""#696A5A"", ""#C6CBC9"")"
35034347371@N01,roland,2012-05-05T16:38:19Z,-123.064945,49.251841,16,http://www.flickr.com/photos/35034347371@N01/7146792165/,#67663E,"c(""#A59C7B"", ""#79862B"", ""#3E3B28"")","c(""#859E1B"", ""#6D6D3D"", ""#C8BF9A"", ""#81785B"", ""#3E3B28"")"
45397399@N00,benjamincarylewis,2006-04-11T22:40:47Z,-123.064041,49.255593,13,http://www.flickr.com/photos/45397399@N00/127719099/,#242420,"c(""#5C5A51"", ""#232420"", ""#080808"")","c(""#A3A195"", ""#575448"", ""#383831"", ""#232420"", ""#080808"")"
87368141@N00,mathieujarryphoto,2006-11-16T17:03:15Z,-123.130806,49.300508,16,http://www.flickr.com/photos/87368141@N00/302948659/,#445575,"c(""#949389"", ""#515971"", ""#14326D"")","c(""#BCB6A2"", ""#858B93"", ""#878576"", ""#515971"", ""#14326D"")"
44124450371@N01,mezzoblue,2005-09-13T20:10:05Z,-123.130205,49.274689,16,http://www.flickr.com/photos/44124450371@N01/43183585/,#40302A,"c(""#4D2E1E"", ""#16110A"", ""#4F413F"")","c(""#45373A"", ""#502E21"", ""#68564C"", ""#62422E"", ""#261F1C"")"
98755122@N00,Graham+Ballantyne,2006-08-05T22:17:54Z,-123.142002,49.27801,16,http://www.flickr.com/photos/98755122@N00/209464173/,#0E0906,"c(""#302015"", ""#030202"", ""#020000"")","c(""#694E37"", ""#1B120B"", ""#080204"", ""#0B0300"", ""#000000"")"
55835038@N00,Aristocrat,2013-01-21T12:56:47Z,-123.142399,49.288673,16,http://www.flickr.com/photos/55835038@N00/8403504682/,#877F72,"c(""#D3D3C1"", ""#A8A28D"", ""#50443D"")","c(""#776859"", ""#5C4B3F"", ""#352D2D"", ""#D3D3C1"", ""#A8A28D"")"
35034347371@N01,roland,2009-02-03T18:27:53Z,-123.07744,49.27757,16,http://www.flickr.com/photos/35034347371@N01/3252428126/,#281F1F,"c(""#3D3334"", ""#221D20"", ""#1E1413"")","c(""#4A4647"", ""#2E1E1F"", ""#2A1814"", ""#131012"", ""#221D20"")"
